####################################################################################################
Online Supporting Information S3. 

The input average signal dataset including the average signals of Chip-seq and DNase-seq in 5000 DNase I hypersensitive sites. 

#####################################################################################################

Chr	start	end	dnase1sig	H3k9me3	H3k27ac	H3k4me3	H3k4me1	H3k4me2	H3k27me3	H3k36me3	H3k9ac	H4k20me1	H3k79me2	BRCA1	BACH1	CEBPB	CHD1	CHD2	CJUN	CTCF	GTF2F1	CMYC	CTBP2	JUND	MXI1	MAX	MAFK	RFX5	RAD21	NRF1	SUZ12	SIN3A	TBP	ZNF143	USF2	ZNF274
chr16	57546570	57546774	0.04	2.995	2.995	0.64	2.475	1.085	1.24	2.545	1.835	3.39	3.11	2.5	2.5	1	2	2.5	3.333	0.83	1	3.5	2.5	1.5	4.857	1.4	3.167	2.667	3.167	3.889	1.363	5.333	5.5	4.571	1.5	3
chr11	1793636	1795028	0.134	2.041	7.884	2.806	14.869	12.622	2.397	2.459	4.135	2.02	1.424	5.032	458.298	7.949	5.038	16.647	13.773	2.84	8.774	7.364	11.054	46.459	8.932	2.854	170.208	5.641	7.531	6.903	2.357	14.543	9.137	12.212	16.128	1.75
chr3	13147378	13147769	0.059	4.197	2.325	1.467	2.747	1.333	0.82	1.989	0.914	2.413	3.864	5.053	6.625	3.4	3.3	6.611	3.857	27.512	5.158	4.5	4.125	5.333	2.286	2.08	5.053	2.333	21.451	3.357	2.755	3.846	6.833	14.091	8.481	1.5
chr8	142342967	142344228	0.067	2.912	4.375	1.76	4.186	2.18	2.597	1.817	2.433	3.36	2.017	4.154	5.844	4.964	4.807	6.324	2.222	2.531	5.25	4.698	3.85	3.429	4.965	3.422	3.138	4.102	4.479	3.698	2.331	6.16	3	12.89	6.956	2.87
chr4	22131140	22131356	0.039	1.926	4.787	0.987	2.004	4.173	1.616	3.956	1.297	1.773	2.84	10.889	12.238	11.1	6	12.609	10.278	193.884	14.217	11.684	3.75	19.857	10.389	4.589	12	6.733	117.843	10.077	2.48	10.118	5	49.471	6.167	2
chr8	136774453	136774716	0.048	1.972	2.148	0.951	5.328	3.53	0.944	0.84	1.816	3.028	2.668	15.778	12.32	10.824	11.259	13.852	4.1	76.584	9.474	9.273	3.25	5	8.529	4.454	4.818	5.8	87.153	5.857	0.72	10.931	7.905	27.164	9.318	3
chr17	64958284	64958809	0.047	3.219	3.373	1.79	6.204	2.787	8.137	2.116	2.351	2.808	3.31	3.579	4.737	2.765	2.786	5.429	2.571	3.507	4.5	5	2.3	3.389	4.435	4.036	4	5.5	2.7	2.909	3.098	7.469	4.059	4	2.636	1
chr14	100665887	100666104	0.038	2.707	4.947	2.789	13.742	9.853	2.404	1.547	3.093	2.529	2.34	6.071	19.133	4.833	2.2	5.125	5.909	4.347	4.556	2.75	8.818	19.12	6.7	1.68	13.944	1.8	8	3.2	2.356	6.5	6.455	8.077	7.333	2.2
chr11	128105803	128106272	0.051	2.518	4.565	1.56	2.782	2.817	1.83	2.971	2.258	4.429	3.511	3.944	3.6	6.44	5.353	3.923	2.875	1.071	6.545	3.4	1	3.692	7	0	3.833	4.056	4.857	3.833	1.758	6.043	4.5	5.333	7.611	2.143
chr22	51162028	51162900	0.064	3.079	4.762	1.9	4.202	2.847	4.872	3.066	3.235	7.405	1.929	5.25	5.906	5.242	2.84	4.5	5.821	2.395	3.074	4.933	2.857	3.731	5.282	2.083	5.703	5.936	3.68	3.923	2.488	6.5	3.923	4.645	5.897	1
chr12	124822965	124825737	0.071	1.806	2.134	1.34	1.849	1.971	1.37	4.861	2.429	4.103	2.306	3.714	4.076	3.12	3.159	3.417	2.781	1.434	3.53	2.596	2.425	3.328	2.827	1.165	2.222	3.483	4.582	3.605	2.62	3.91	2.564	4	5.376	1.474
chr17	2206313	2207625	0.42	1.444	19.179	37.39	2.443	35.912	1.751	0.892	39.121	3.346	5.308	17.856	13.079	8.165	12.452	32.761	6.448	4.312	16.139	11.009	6.836	14.137	12.346	6.882	4.333	6.535	6.145	82.113	2.603	39.963	54.295	13.462	11.769	1.778
chr19	7291198	7291416	0.039	2.449	6.822	1.702	6.738	6.116	1.728	2.924	1.284	5.662	33.076	4.143	7	3.857	5.538	3.5	8.667	2.576	3.167	4.3	4.333	7.25	6.333	3.391	2.75	4.429	6.5	6	1.05	5.615	1.5	4.462	3.143	2.6
chr11	76756843	76757589	0.143	3.271	3.743	6.86	11.299	38.205	3.432	2.2	6.887	3	2.072	11.176	38.822	11.369	10.016	11.565	9.74	89.344	10.556	19.717	14.408	16.747	16.659	9.109	11.161	9.955	57.386	11.754	1.935	25.134	10.703	43.625	10.657	2.182
chr4	109115490	109115867	0.062	1.99	3.464	1.563	3.26	7.848	2.36	0.83	2.12	4.331	2.255	9.629	10.094	14.846	13.122	14.022	9.92	3.183	4.786	17.719	7.6	20.966	11.735	10.056	6.476	7.423	10.829	11.788	0.9	16.082	11.486	6.96	8.433	2.111
chr10	130375200	130375480	0.056	5.236	3.131	1.66	4.222	3.495	0.993	3.425	2.777	4.029	2.48	5	10.211	61.263	7.231	13.576	10.364	11.615	6.857	11.294	2.6	21.476	7.944	24.212	7.857	8.941	8.778	7.933	0.45	10.96	10.444	12.571	14.838	2
chr7	155006092	155006584	0.044	1.003	4.9	1.26	12.696	4.126	3.035	1.478	4.872	3.326	2.77	7.618	6.533	4.381	3.706	3.944	5.769	3.722	2.643	2.375	4.4	6.524	4.68	5.235	3	3.789	4.833	3.462	4.168	9.189	7.971	6.3	9.261	2.5
chr1	156614641	156615205	0.048	4.006	2.409	1.141	2.864	3.708	8.821	2.544	2.663	4.718	3.087	4.786	7.439	2.786	6.625	2.875	2.5	2.154	3.875	5.154	3.222	1.9	7.222	1.711	3.3	6	4.25	4.182	2.942	7.029	3	14.569	2.667	1.25
chr14	38063268	38065884	0.197	2.342	2.257	7.024	6.747	36.941	45.834	1.456	2.933	7.042	1.527	8.126	14.959	6.904	9.595	9.259	6.432	15.479	7.918	6.068	16.682	10.907	7.633	4.371	7.154	8.782	39.832	5.333	5.46	14.832	8.627	16.219	8.894	1.591
chr15	78118065	78118369	0.038	4.413	3.16	1.783	6.46	4.113	2.26	1.617	3.007	3.443	1.167	2.222	6.625	2	3.929	2.5	1.5	2.372	2.571	4.667	6.222	3.444	3.636	1.633	7.25	8.238	2	5.562	2.677	4.842	4.5	8.667	4.273	2.833
chr3	133265949	133266878	0.042	3.272	4.367	2.408	6.94	9.459	2.149	2.55	3.575	2.597	2.737	7.712	8.431	8.585	4.667	5.792	3.69	3.672	6.431	8.213	3.385	9.508	6.792	3.287	10.333	5.98	6.471	4.879	1.891	7.41	6.041	9.471	6.163	1.571
chr3	10184441	10184715	0.043	5.785	10.36	10.844	10.705	49.138	0.985	2.811	7.236	16.898	47.073	4.846	8.526	6.095	4	7.357	4.5	4.945	6.2	5.583	7.333	6.333	10.364	3.583	3.7	5	6.308	4.375	2.3	13.207	3.545	5.786	7.9	2.5
chr1	206645947	206646154	0.042	2.12	5.418	3.16	21.209	18.48	0.817	1.391	2.173	2.044	7.067	7	4.429	58.576	5	6.1	2.857	3.893	6.8	7.5	4	11.833	9.667	1.4	3.778	5.5	3.286	7.364	1.66	21.9	5.1	12.857	5.692	2.2
chr12	131847856	131848378	0.063	4.568	4.194	1.211	8.261	5.945	2.688	4.381	4.088	3.853	2.511	5.346	7.469	6.148	5.522	3.867	3.5	0.889	6.788	7.88	5.818	4.652	4.474	4.353	3.643	4.2	5.08	3.533	1.914	5.967	6.885	11.74	7.441	2
chr7	618698	619269	0.04	1.856	6.59	2.328	2.527	0.941	1.381	5.577	3.523	6.515	3.327	3.833	3.625	5.167	6.194	3.176	2	1.798	4	5.091	3.083	3	5.391	0.84	1.714	3	1.714	7.478	2.722	5.269	5.045	4.96	4.1	1.75
chr21	39498844	39499036	0.045	0.845	4.73	1.607	3.205	2.926	2.55	1.095	4.145	2.41	2.52	19.419	16.3	29.029	6.3	17.435	7.692	178.705	14.368	10.6	4	26.607	11.824	9.23	24.462	6.444	342.007	20.16	1.625	19.043	10.615	48.358	14.136	2.857
chr4	184579754	184580903	0.25	1.559	18.619	41.247	2.032	39.695	1.552	2.4	42.383	2.028	9.345	10.582	21.531	14.475	11.533	40.333	6.356	9.194	9.24	9.944	7.292	10.94	12.893	4.966	8.173	6.407	11.71	5.305	1.359	24.739	27.995	11.371	9.393	1.692
chr22	40086269	40086672	0.05	4.683	0.84	0.827	5.718	2.603	1.913	2.51	4.155	3.488	2.345	4.412	3.786	2.1	7.172	4.533	5.267	3.914	2.5	2.727	4.692	3.5	8.423	1.844	5.417	4.25	3	2.167	2.589	6.296	4.6	4.625	4.2	1.5
chr8	26047690	26048252	0.048	1.273	3.424	6.887	5.277	19.819	3.537	2.348	5.011	3.487	2.07	5.905	10.314	4.6	4.773	9.808	2.833	3.667	5.185	7.811	4.81	10.25	6.967	2.354	3.706	6.219	7.829	9.409	3.757	6	6.086	6.714	9.104	1.4
chr4	175204687	175205360	0.059	4.84	98.252	90.197	2.347	68.797	2.321	1.817	155.147	5.588	5.57	18.8	16.65	11.82	17.723	24.246	11.73	6.261	19.963	19.021	9.878	20.707	28.054	16.81	14.853	9.656	9.212	20.113	3.538	127.255	96.675	23.675	13	1.4
chr16	81592505	81592722	0.041	0.965	6.38	1.185	8.93	3.43	1.8	0.9	4.93	9.74	12.72	1.5	3.25	4.333	3.714	6.273	8.667	4.52	3	5.7	5	12.091	7.643	3.683	2.5	3.75	7.333	7.143	1.6	7.833	3.667	10.588	6.923	1.5
chr20	33878440	33879097	0.053	3.8	3.532	1.632	2.867	1.333	2.706	2.517	3.451	2.917	2.192	4.633	3.632	2.6	2.385	2.722	2.111	0.89	3.65	1.333	2.615	3.111	4.138	1	1.333	2.952	3.565	3.167	2.736	4.167	4.52	2.944	3.826	1.75
chr16	51148358	51148704	0.064	3.366	4.194	1.453	11.483	9.317	8.606	2.9	8.234	3.397	2.023	5.067	3.692	4.214	4.933	7.391	4.357	5.217	5.333	4.316	5	5.067	7.222	2.645	5.412	2.7	6.19	1.5	0.45	8.654	5.625	5.462	6.636	1.333
chr11	2429675	2430134	0.047	1.503	4.267	0.94	2.44	2.069	2.356	1.56	4.889	3.749	2.251	2.375	4.167	2.571	2.929	3.824	3.273	1.837	3.5	1.667	1.833	2.25	3.273	0.933	1.4	3.071	2.5	3.429	2.85	3.5	3.467	3.077	4.4	1.333
chr16	19918792	19919161	0.062	3.483	3.931	1.613	4.728	12.149	2.2	1.789	3.771	0.985	2.608	23.797	14.891	30.458	8.571	20.5	10.867	216.493	19.983	20.31	9.533	25.045	18.965	7.887	14.644	15.467	469.934	13.462	0.771	36.98	17.294	61.747	22.639	1.75
chr18	47139250	47139988	0.072	2.499	12.537	5.419	17.436	26.286	1.594	1.975	5.768	4.07	2.244	11.694	17.146	10.969	9.692	24.007	10.817	3.713	12.963	21.098	29.049	16.808	10.862	23.604	8.085	13.342	14.299	9.053	2.508	19.398	13.123	20.511	14.779	2.882
chr3	193724025	193724166	0.038	1.496	1.05	2.768	3.728	4.816	3.424	1.78	3.96	1.248	2.816	6.556	7.889	16	6.875	6.222	5.667	33.488	7.167	3.4	2	11.286	4.8	3.04	9.286	5.6	28.5	3.75	1.367	10.7	6.5	14.1	9.533	4.75
chr19	48980561	48980955	0.05	1.511	3.955	0.96	3.96	3.348	1.14	7.21	7.057	3.672	1.963	3.533	4.467	1	4.714	6.364	1.333	2.51	3.364	4.5	3	5.5	7.04	0.7	1.75	3.538	3.786	2.364	2.39	3.667	3.5	4.375	2.571	1
chr12	125223498	125223814	0.037	1.513	3.806	0.956	7.148	3.524	2.072	1.966	2.871	2.747	2.812	4.357	6.368	3.5	3.455	5.294	6.733	2.284	2.143	4	3.111	11.8	3.8	2.771	3.833	1.5	3.3	6.714	2.67	5.056	3.6	15	6.32	1
chr19	56764097	56764562	0.089	12.255	3.998	2.596	5.96	9.425	2.937	1.132	5.061	1.748	2.537	13.83	11.867	12.723	11.674	18.159	11.028	186.225	17.185	21.026	16.66	16.431	18.2	17.634	9.371	9.641	110.147	8.233	1.865	21.12	14.346	56.747	15.509	1.8
chr14	76842162	76843040	0.1	1.934	2.413	20.775	8.726	61.864	43.304	1.137	5.162	2.814	3.111	5.568	18.468	6.125	4.818	11.8	6.25	3.523	4.2	8.417	10.912	7.264	11.361	3.64	3.357	6.754	11.697	5.257	3.551	36.278	12.094	10.303	8.274	2.25
chr19	2150113	2152253	0.231	3.195	12.347	30.052	10.854	45.233	1.54	2.995	31.354	8.003	66.34	7.066	27.847	6.895	9.358	16.462	5.213	3.059	9.783	18.113	8.927	9.924	117.903	28.875	6.765	8.507	4.788	6.679	2.923	85.12	15.534	11.723	39.493	1.8
chr5	112942243	112942555	0.06	4.32	3.055	2.169	4.409	10.271	3.286	1.977	1.969	1.738	2.911	15.375	11.6	15.024	8.591	13.212	10.258	147.498	8.16	16.053	7.091	21.875	17.854	31.894	14.714	13.829	314.222	12.1	0.633	22.912	9.333	39.578	15.5	2.167
chr2	238653402	238654026	0.086	1.965	5.382	1.123	13.435	5.955	0.92	3.229	4.816	8.381	11.898	13.522	25.663	11.019	7.062	12.953	7.946	99.24	12.055	10.673	9.615	17.306	12.523	4.262	8.756	10.346	260.587	9.283	2.121	23.53	11.772	29.107	14.309	2.556
chr2	74651749	74652161	0.038	2.874	7.322	1.475	3.162	2.251	2.398	5.468	5.911	4.704	3.308	4.067	5.5	3.357	3.333	8.258	7.043	1.909	3.6	5.8	5.588	10.649	3.167	3.45	4.778	2.286	2.333	3.824	1.7	9.867	6.609	5.952	9.6	2.286
chr3	176917283	176917598	0.044	3.09	3.633	2.931	10.553	7.14	2.768	1.337	2.927	2.807	7.42	5	7.053	4	7.636	4.333	3.556	2.78	2.889	4.833	3.2	4.643	2.909	1.633	4.133	5	4.467	3.923	0.9	4.286	2.429	3.5	4.733	1.333
chr19	12865171	12867183	0.045	2.628	2.295	1.121	2.36	1.894	1.992	2.182	3.831	2.431	2.25	5.702	4.514	2.5	2.512	4.803	4.562	2.743	4.333	2.425	3.677	4.754	4.556	1.737	2.276	3.111	3.371	5.295	3.75	5.272	3.091	3.984	5.394	2.118
chr7	73894465	73895404	0.157	3.618	11.581	5.107	14.514	29.501	2.201	1.815	8.239	11.68	10.858	7.097	23.187	13.26	11.888	13.128	6.465	4.812	9.789	9.554	8.912	13.412	39.777	13.366	5.667	4.4	11.425	8.377	3.623	72.567	23.396	11.7	11.625	2.091
chr18	12885499	12886062	0.088	2.251	4.268	3.007	9.722	15.654	2.524	1.558	0.968	4.797	2.049	8.826	16.25	17.605	9.907	16.625	11.553	2.631	12.036	12.04	3.818	21.293	11.517	11.522	14.281	7.455	7	7.971	1.788	16.014	9.489	12.246	8.512	1.4
chr10	13181163	13181474	0.056	0.96	3.807	0.78	5.96	10.157	1.307	2.04	1.168	1.297	2.48	4.923	7.1	5.588	6.294	6.96	8.722	0.865	7.5	11.833	1.5	9.16	10.808	11.865	4.8	4.917	1.5	7.235	0.9	8.304	2.75	11	7	1
chr11	69484738	69485624	0.175	1.915	4.253	2.363	5.615	4.008	1.875	3.891	5.666	5.209	5.873	12.036	10.638	6.837	11.662	21.607	7.314	116.493	12.444	11.758	11.157	14.024	13.059	7.975	8.656	10.161	134.657	5.977	2.124	22.985	13.12	55.147	12.115	2.8
chr7	31060341	31060721	0.066	2.597	5.563	1.34	16.592	13.605	2.462	2.149	3.227	1.388	2.304	4.25	8.208	6.095	4.167	9.742	2.5	3.751	6.667	11.789	8.417	7.84	7.696	5.186	6.75	5.143	8.679	7.65	1.675	12.878	7.1	18.797	6.92	1.833
chr7	639143	639496	0.056	1.553	4.577	1.6	5.377	4.393	1.545	1.266	1.951	5.868	3.734	4.143	4.75	1.4	3.111	2.167	3	4.308	4.182	2.571	4.111	5.917	2.75	2.108	1.8	3.429	3.25	2.2	2.86	2.9	2.143	3.2	2.6	1.75
chr2	220429807	220430852	0.126	3.38	39.729	5.607	24.928	39.999	1.158	3.969	19.852	3.636	3.316	13.75	22.951	10.5	10.316	28.039	9.25	4.265	21.213	12.315	18.008	27.973	16.918	9.795	16.397	14.019	14.159	8.68	2.929	36.536	38.593	18.366	14	3.179
chr9	96728142	96728437	0.053	2.52	4.62	0.914	4.32	2.567	1.49	2.985	1.671	2.933	1.524	5.75	6.667	5.5	4.8	6.167	3.364	61.103	7.176	4.077	4.818	5.471	6.5	4.122	9.381	6.091	64.707	3.286	1.956	10.565	7.421	18.2	7.222	2.714
chr10	134753678	134754268	0.103	1.792	1.56	2.135	1.537	1.08	1.447	1.6	1.296	1.022	0.892	5.296	10.104	5.552	4.304	9.882	5.786	65.071	10.585	7.969	2.4	11.48	8.128	3.397	7.351	5.12	152.696	5.559	3.081	18.728	4.577	23.183	6.75	1.8
chr5	141044387	141045013	0.117	2.53	2.286	1.592	5.83	5.378	1.263	3.174	3.96	4.93	3.349	14.939	11.967	12.268	5.64	10.9	8.722	113.366	14.286	14.898	7	18.233	18.911	7.055	4.458	8.787	161.077	9.238	2.504	30.862	10.396	41.722	14.91	1.4
chr12	99090084	99090311	0.042	2.111	11.013	7.978	8.96	22.382	0.749	0.967	8.133	3.071	3.613	9	12.409	14.125	9.6	14.556	9.167	2.751	6.154	13.96	2	15.483	7.214	6.907	5.6	8.588	5.929	6.692	0.8	11.353	7.071	9	17.679	4.429
chr6	42421922	42422463	0.057	2.882	7.385	22.202	13.025	67.495	4.92	2.348	14.138	5.065	6.649	7.15	11.692	9.568	11.644	16.773	8.188	4.745	7.634	7.485	6.545	13.333	12.746	4.457	7.333	5.724	9.571	8.194	2.148	32.595	15.851	15.788	8.119	1.25
chr11	70671958	70673808	0.108	2.551	3.908	2.722	9.344	11.918	2.279	2.111	2.757	7.273	4.633	5.75	5.761	5.906	4.173	9.938	4.969	3.199	6.765	6.744	7.241	6.755	9.828	6.805	4.727	7.78	7.423	6.568	1.425	18.03	8.311	9.423	11.622	2.346
chr9	7536423	7536595	0.041	4.337	2.96	1.143	4.063	3.069	0.62	0.693	4.949	1.76	1.451	16.706	15	17.476	6.9	21.217	16.105	228.377	8.882	7.846	5	16.864	15.3	11.926	6.375	8.636	197.13	7.1	2.243	13.263	10.545	49.894	16.889	1.667
chr10	102276509	102276874	0.064	3.763	1.893	1.723	3.094	1.613	2.297	2.091	4.834	2.583	4.986	7.136	5.167	7.167	9.182	7.3	4.636	58.183	6.267	4.643	6.688	10.967	9.594	2.762	8	10.606	16.2	4.647	3.883	15.667	5.474	16.256	7.577	2.2
chr5	139020258	139020868	0.059	1.58	4.963	2.128	24.182	10.852	2.057	1.868	8.512	5.533	3.368	6.927	5.909	7.184	6.878	9.113	5.2	3.617	7.524	8.143	8.8	7.105	6.75	1.773	4.429	5.433	6.061	3.941	2.636	7.723	6.4	6.171	9.426	3.375
