####################################################################################################
Online Supporting Information S2. 

The input maximum signal dataset including the maximum signals of Chip-seq and DNase-seq in 5000 DNase I hypersensitive sites. 

#####################################################################################################

Chr	start	end	dnase1sig	H3k9me3	H3k27ac	H3k4me3	H3k4me1	H3k4me2	H3k27me3	H3k36me3	H3k9ac	H4k20me1	H3k79me2	BRCA1	BACH1	CEBPB	CHD1	CHD2	CJUN	CTCF	GTF2F1	CMYC	CTBP2	JUND	MXI1	MAX	MAFK	RFX5	RAD21	NRF1	SUZ12	SIN3A	TBP	ZNF143	USF2	ZNF274
chr11	1793636	1795028	0.329	4	14.56	8.36	36.2	28.84	5	5	9.92	5.12	3	10	1138	15	11	31	28	5	19	12	19	97	19	5.7	391	11	16	14	4.9	31	18	23	37	3
chr3	13147378	13147769	0.082	6	3.76	2	4	2	1	3	1	4	8	7	10	5	5	9	6	49.52	9	7	9	8	4	4.1	7	4	35	5	5.5	6	13	23	14	2
chr8	142342967	142344228	0.14	8	10	5	8.56	4.52	5	4.44	4	7	4	8	12	10	7	11	4	7.28	9	10	9	6	10	6.9	5	7	8	9	6.4	10	6	26	12	5
chr4	22131140	22131356	0.042	4	6.24	1.84	3	7.16	2	5.36	2	3.92	4	14	15	14	7	16	14	244.56	18	16	5	24	15	6.9	16	9	153	13	4.6	12	7	62	9	3
chr8	136774453	136774716	0.058	3	3	1	8.76	5	1	1	3	4	4	20	15	14	15	19	5	99.56	12	12	5	7	12	8.3	9	10	118	12	1.8	13	10	35	12	4
chr17	64958284	64958809	0.056	4.92	7	4.4	9	5.48	11.36	3.68	4	5.96	5.28	7	9	5	5	10	5	7	7	8	4	6	7	6.9	7	8	4	6	5.5	10	7	6	4	1
chr14	100665887	100666104	0.04	4	7.68	3.72	17.04	14.08	3	3	4	4.04	4.08	7	25	7	3	8	10	8	6	4	13	23	9	2.8	18	3	12	4	3.7	11	8	12	9	4
chr11	128105803	128106272	0.06	5	7	3	4.44	4.28	4	6	4	8	5	6	7	10	8	6	5	1.92	10	5	1	7	10	0	6	7	8	6	2.8	9	7	8	12	4
chr22	51162028	51162900	0.11	8.96	6.6	4	6.88	5	9.28	4.88	6	12.4	4	8	11	10	5	9	11	5	5	9	6	7	9	4.1	10	10	6	6	6.4	10	7	8	9	1
chr12	124822965	124825737	0.107	3.88	5.84	3	4	5	3	12.44	6	8.84	8	9	10	8	7	8	7	3	9	5	6	7	7	2.9	5	8	11	9	7.3	8	6	10	11	3
chr17	2206313	2207625	0.881	3	42.44	74.04	6	76.04	4	1	72.32	7	22.16	33	22	16	23	71	11	10.04	31	20	10	24	20	14.4	10	13	11	192	5.5	65	93	21	19	4
chr19	7291198	7291416	0.042	3	10.36	2.88	8.88	7.48	2.88	4.72	3	7	36.48	6	9	6	7	6	12	3	4	5	6	10	9	5.5	4	5	9	8	1.8	7	2	9	5	4
chr11	76756843	76757589	0.288	5	7.48	14.8	18.56	60.4	6	4	11.24	4.48	3.52	20	72	20	17	19	17	263.28	16	32	23	26	26	13.8	16	16	112	18	5.5	38	21	85	14	4
chr4	109115490	109115867	0.081	3	6	2	7.72	10.48	3.72	1	3.6	9.68	3	14	14	23	18	19	13	5.16	7	27	13	30	18	16.6	10	14	17	16	1.8	24	16	11	13	4
chr10	130375200	130375480	0.07	6	5	2.56	5	5	1.44	4.84	4	5.6	3.32	7	20	102	10	16	15	16	8	20	4	29	12	38.7	10	14	12	11	0.9	14	14	16	19	3
chr7	155006092	155006584	0.05	1.96	6.8	2	22.24	5	5	3	7.68	7	4	12	12	7	5	6	8	7	4	4	7	11	7	11.1	5	7	8	6	7.3	15	12	9	17	4
chr1	156614641	156615205	0.059	9	5	2	6.04	7.4	12.48	4	6	9.04	6	9	14	5	11	5	4	5	9	9	6	3	12	2.8	6	10	7	6	5.5	11	5	33	5	2
chr14	38063268	38065884	0.331	7	8.16	15	14	71.56	145.64	3	11	17.92	4	16	39	18	19	20	17	140.52	14	14	36	20	14	13.8	20	18	110	14	13.8	29	17	40	18	3
chr15	78118065	78118369	0.041	8	5.96	3	11.32	5	3	3	5	6	2	4	9	3	6	4	2	3	5	8	10	5	5	2.8	10	12	3	8	5.5	8	7	14	7	4
chr3	133265949	133266878	0.05	6.36	7	4.92	10.6	13.68	4	5.44	5.92	5.32	7	16	16	15	8	10	7	7.64	9	16	8	15	12	5.6	19	9	12	8	3.4	14	11	17	14	3
chr3	10184441	10184715	0.048	8.6	13.6	14.2	11.96	62.8	1	4	10	21	52.84	7	13	12	8	11	7	7	8	8	10	9	13	9.7	5	7	9	6	3.7	18	5	9	10	4
chr1	206645947	206646154	0.048	4.8	7.24	4	26.28	20.04	1	2	5	3	9.68	9	6	79	6	8	5	4.96	9	11	7	14	12	2.8	8	10	5	10	2.8	28	7	17	8	3
chr12	131847856	131848378	0.079	8.8	6	2	14.56	11.56	3.8	8.24	8.8	6	4	8	13	10	12	6	6	1	11	15	9	9	7	6.9	7	6	8	5	3.7	12	9	20	10	3
chr7	618698	619269	0.045	3	10.84	4	3.84	1	2	8.36	5	10.88	5	6	6	7	11	5	3	4	6	8	5	6	10	1.4	3	6	3	12	5.5	9	8	7	7	3
chr21	39498844	39499036	0.05	1.36	5.24	3	4.08	5	3.52	2.04	7.64	4.24	4	22	20	35	8	21	10	218.32	18	13	5	33	17	12.4	29	8	417	23	2.8	22	13	58	17	4
chr4	184579754	184580903	0.587	5.36	33.48	62.96	3.4	67.6	4	6.44	75.96	4.2	23.04	17	43	30	20	92	13	36.56	15	15	13	18	22	12.4	13	13	25	9	3.7	37	54	19	17	3
chr22	40086269	40086672	0.058	7	0.84	1.04	8	4.96	3.76	4	6.96	6	4	8	7	3	10	6	8	6.12	4	5	8	6	14	3.1	12	6	5	4	3.9	9	8	8	6	2
chr8	26047690	26048252	0.058	2	7.04	10.72	13.04	24.6	7	5.8	10	5.44	4	10	17	7	9	14	5	7.4	11	13	7	17	12	5.6	6	10	12	16	7.3	8	11	10	15	2
chr4	175204687	175205360	0.089	9.16	225.52	117	5	89.48	3	3	308.4	8.72	13.72	27	26	17	23	39	20	14	29	33	14	33	42	26.3	24	16	15	37	10.1	182	175	37	19	2
chr16	81592505	81592722	0.046	1	9	2	12.76	6	3	1	6.48	12.12	17.44	2	4	8	5	8	14	5	5	11	7	16	9	5.5	5	5	11	9	2.8	10	6	13	10	2
chr20	33878440	33879097	0.061	7.8	7	2	6	2	5.76	4.88	5.88	6.36	4	8	7	6	4	5	4	1	7	2	5	6	6	2.8	2	6	6	6	5.5	7	8	5	7	3
chr16	51148358	51148704	0.085	5	7	2	18.88	16.44	12.36	5	10.44	8.16	5.2	8	6	7	7	10	7	9	9	6	7	7	10	5.5	7	5	8	2	0.9	12	12	9	11	2
chr11	2429675	2430134	0.056	2	6.4	1	5.72	4	4	2	9	6	3	4	7	5	5	6	6	4	6	2	3	4	6	1.4	2	6	4	5	4.6	6	5	5	7	2
chr16	19918792	19919161	0.078	7	5	3.16	12.28	22	4.16	3	9.76	1.68	6.52	33	23	45	11	28	17	383.48	26	31	14	33	26	12.4	21	19	805	21	1.8	53	23	92	30	3
chr18	47139250	47139988	0.106	5	26.84	9.4	28.2	34.56	3	6	10	10	4.04	25	30	18	15	36	15	7.76	21	36	41	25	18	45.6	13	22	22	14	5.5	30	22	31	24	6
chr3	193724025	193724166	0.04	2	2	4	5	5.96	5	2	7	1.8	5	9	9	19	9	10	7	36.64	9	5	2	13	6	4.1	11	7	32	5	2.8	13	7	16	13	6
chr19	48980561	48980955	0.063	4.04	6.48	0.96	6.04	6	2	10.2	16	8.04	4	6	6	1	7	9	2	4	6	8	6	8	12	1.4	3	5	7	5	4.6	5	5	7	3	1
chr12	125223498	125223814	0.039	2.24	5.96	1.88	8.96	5	2.84	2	3.8	4	4	6	9	7	7	8	10	4.28	4	7	5	15	6	4.1	6	2	5	10	5.5	9	5	26	10	1
chr19	56764097	56764562	0.132	25.56	8	3.72	10	12.88	4	2	10.64	3.96	4	23	18	21	17	29	18	396.84	26	37	27	24	29	31.8	15	16	211	12	3.7	33	19	100	26	3
chr14	76842162	76843040	0.198	3	4.96	44.44	16.8	99.96	78.6	2	9.44	5.84	8	10	34	10	12	25	13	8.56	7	14	16	12	19	8.3	6	11	22	11	6.4	72	26	21	16	4
chr19	2150113	2152253	0.797	7	25.2	81.16	40.72	100.52	3	9.44	123.6	17.28	215.32	17	63	14	20	40	11	13	24	46	20	18	349	77.4	13	17	9	14	9.2	261	35	23	95	3
chr5	112942243	112942555	0.078	8.76	5	4	12.64	21.68	4.52	2.56	5	3	5	20	17	19	10	18	19	228.88	11	24	11	28	22	56.3	22	17	513	16	1	34	14	56	19	3
chr2	238653402	238654026	0.152	4.04	12.76	2	26.36	13.12	1	5	11.08	15.24	21.44	24	49	20	11	23	14	274.8	19	16	19	28	21	9.7	16	17	511	13	4.6	38	19	47	21	4
chr2	74651749	74652161	0.04	5.36	10.4	2	5.6	4.68	4.28	7	8.52	8.36	5	6	8	6	6	11	10	3.92	6	9	9	15	6	6.9	9	4	4	6	2.8	16	11	9	17	4
chr3	176917283	176917598	0.051	5	5.76	4	14.8	13	4	4	7	4	11	7	10	7	12	7	5	4	4	10	6	7	5	2.8	6	6	8	5	1.8	7	4	6	7	2
chr19	12865171	12867183	0.059	5	5	2	5	7	4	4.36	9	5.88	5	10	10	6	5	11	11	6	9	5	9	10	10	4.1	4	6	6	15	9.9	11	5	8	11	4
chr7	73894465	73895404	0.317	8.76	19	9.08	29.08	42.48	4	3	12.56	19.72	19.84	14	43	26	24	19	13	8.28	15	16	15	24	75	26.3	12	11	20	13	8.3	159	45	16	16	4
chr18	12885499	12886062	0.135	5	9	5.64	12.88	31.96	3	3	2.28	7	4	13	22	30	15	27	20	5	19	17	7	32	18	22.1	24	12	13	15	3.7	22	13	20	12	2
chr10	13181163	13181474	0.072	0.96	6	1	7.8	18.6	2	3.52	2	2.44	4	8	10	8	10	11	12	1	10	17	2	12	16	23.5	8	7	2	11	1.8	12	4	17	9	1
chr11	69484738	69485624	0.401	4	11.6	4.4	10.92	7.84	4	7.96	12.08	11.28	10.32	22	18	14	18	39	14	461.12	26	22	20	24	20	19.3	14	17	293	12	4.6	44	22	111	23	5
chr7	31060341	31060721	0.088	5	8.16	2.08	23.36	20.76	4.36	3	7.8	2	3.6	7	11	10	7	15	5	6.4	8	19	11	11	12	8.3	8	10	14	13	2.8	16	10	29	9	3
chr7	639143	639496	0.073	2	7.44	2	9.92	7	2.72	2	4	10.48	5.56	7	7	2	4	3	5	7	7	4	7	8	4	2.8	3	5	5	3	5.3	4	4	4	4	3
chr2	220429807	220430852	0.251	8.6	84.36	12.84	43.6	68.12	2	9	40.56	7.72	6	21	37	20	20	52	19	7.52	37	23	33	43	32	20.7	29	24	25	12	5.5	60	60	29	22	7
chr9	96728142	96728437	0.065	3.28	11	1	9	3.16	2	4.4	3.92	5	2	8	10	7	6	8	5	90.76	10	7	7	9	9	5.5	11	8	95	4	3.7	15	10	25	10	4
chr10	134753678	134754268	0.192	4.24	3	4.96	3.92	3.12	2	2	2.8	3.36	1.44	8	18	10	8	21	11	175.64	18	13	6	21	13	6.9	13	8	310	9	6.4	30	9	44	12	3
chr5	141044387	141045013	0.203	3.76	4.64	3.04	9.36	11.48	2	6	7	10.28	6	26	18	22	10	18	15	312.72	24	29	12	32	31	13.8	7	15	323	17	5.5	56	21	80	26	2
chr12	99090084	99090311	0.047	4	14.68	9.72	12.96	25.36	1	1	13.56	4.32	7	12	15	18	12	19	12	3.8	8	18	3	18	9	12.7	9	12	9	10	1.8	15	8	11	22	8
chr6	42421922	42422463	0.075	5	10.44	37.12	17.04	79.2	7	6	19.84	9.96	12.96	13	15	15	16	25	12	8.2	15	12	13	17	18	6.9	12	15	15	12	3.7	45	23	29	11	2
chr11	70671958	70673808	0.283	6.6	11	7.24	18.68	33.48	5.76	4	5.76	16.64	10.44	12	11	11	7	25	12	15	12	17	15	12	19	13.8	8	13	15	16	3.7	37	18	18	27	4
chr9	7536423	7536595	0.044	4.72	4.28	2	4.8	4	1.12	1.08	6.04	3	2	22	18	22	9	25	22	261.08	14	10	7	22	18	18	9	11	246	9	3.7	17	14	64	22	2
chr10	102276509	102276874	0.088	11.68	3	3	5.96	3	3	3	9.52	4	6.76	10	8	10	12	11	6	89.44	9	7	11	15	13	5.5	13	15	24	7	6.4	27	8	27	10	3
chr5	139020258	139020868	0.084	3	7.88	4.76	32.56	14.28	3.68	3	14.68	9	6	12	10	11	11	13	10	5	13	11	15	11	12	4.1	7	7	9	7	4.6	11	10	10	18	5
chr4	140690117	140690303	0.043	5.12	7	1	2	3	1	5	4.56	1	3.6	16	53	15	12	19	12	125.04	13	14	11	39	17	6.9	29	9	96	16	6.4	20	17	74	18	3
chr11	116574116	116574636	0.161	3	8	8	21.92	11.6	7.4	4	9.12	6	7.36	17	11	11	10	11	8	21.04	12	10	23	18	14	15.2	11	22	17	7	6.4	50	20	25	12	3
chr9	131855875	131856475	0.041	2	5.76	2	10.56	4	1	3	6	6	3	6	5	7	8	12	5	5	7	8	8	7	7	4.1	5	8	3	7	5.5	6	5	9	8	2
chr2	85569411	85569600	0.043	4	7	2.48	26.52	14.32	1	10	8	10	3	9	9	10	12	10	3	10.84	6	6	7	11	10	8.3	7	11	9	5	6.4	15	5	9	18	2
chr4	1098561	1098788	0.043	6	11.92	2.96	11	7.92	4.96	1	7	2	3.88	5	17	3	6	8	7	23.16	6	10	10	8	10	4.1	12	6	11	6	5.5	9	6	10	4	3
chr14	104171337	104172709	0.075	5	7.48	4	5.72	5.24	3	14.96	6	14.12	5.2	8	6	6	11	9	4	10	7	5	11	6	11	2.8	6	7	6	4	6.4	13	8	13	16	4
chr19	48953606	48954491	0.046	4	4.24	3	2.04	2.44	3	25.36	7	17.16	10	8	5	4	8	9	5	3	6	7	3	6	8	2.8	7	7	3	5	5.5	7	7	8	7	2
chr19	8034099	8034901	0.235	6.6	30.32	9.68	54.16	31.72	2	9.2	27.16	15.72	12.96	13	19	14	15	22	15	9.08	17	46	14	26	65	92.6	10	10	11	14	5.5	65	27	15	59	3
chr19	32895994	32897355	0.531	4	72.32	62.8	4.8	65.36	4	2	128.36	9.56	14.84	13	38	16	16	54	20	16.12	37	39	15	22	21	16.6	10	14	9	22	4.6	57	127	30	17	3
chr4	90176042	90176235	0.049	3.56	5	1	4	3	5	2.4	5.96	1	7	16	10	18	14	13	16	147.72	9	20	4	21	18	23.5	11	8	114	7	1.8	16	9	72	14	3
chr9	95803346	95803761	0.117	12.52	7	2	5	2	2	5.28	5	12.04	6.44	9	10	8	5	16	8	4	8	13	3	8	8	34.5	7	8	6	10	4.6	8	9	11	61	3
chr19	51897342	51898036	0.142	6	52.48	68.68	12	86.92	2	4	92.2	2.56	8.76	22	17	28	12	103	9	8.96	31	26	13	31	39	35.9	17	17	17	190	3.7	42	95	28	25	3
chr3	14460353	14460665	0.066	7	5.52	4	11.32	9.72	2.48	7	5.32	10.6	24.84	15	12	33	4	11	13	4	13	10	8	14	7	9.7	10	11	14	5	3.7	24	16	22	8	2
chr22	50873256	50874328	0.057	4	5	1	2	1	3	10.48	6.44	12.32	4.72	7	4	5	6	7	9	4	5	8	6	5	7	2.8	4	4	6	10	7.3	7	6	5	8	3
chr7	1514927	1525444	0.267	7.32	8	3	7	9.28	4	17.8	14	10.2	6.84	8	10	10	7	9	8	16	7	8	9	7	10	3.4	7	9	11	8	8.3	10	8	13	18	4
chr12	124933695	124935427	0.083	6	13.8	4	6	5	4	9.44	8.04	16.04	16	9	7	8	7	7	5	9.96	8	10	6	9	17	6.9	8	7	9	6	4.6	9	9	10	9	1
chr16	85283574	85284181	0.077	5	6.52	2	13.64	5.88	2	3	6.32	13.96	10.16	7	8	6	11	11	9	2	5	6	5	6	8	2.8	6	4	6	7	4.6	8	7	11	7	3
chr9	132248227	132248745	0.077	5.04	12	1	13	10	14.84	2	6.44	3.88	5.32	7	13	5	5	11	4	5	10	6	3	15	12	6.9	7	9	9	10	7.3	13	14	12	7	4
chr18	77213880	77222212	0.193	7.56	10.8	6.24	28.52	13	5	8	9.28	8	7	8	14	8	11	10	10	8.96	11	8	12	17	9	11.1	9	12	7	10	8.3	12	13	9	10	5
chr1	247241537	247242434	0.306	4	60.04	82.28	11.04	57	3	4	139.92	7	57.76	20	19	26	27	49	16	15.4	44	28	14	23	23	12.4	16	20	44	19	3.7	83	178	30	25	4
chr2	178628381	178628735	0.056	7.28	4.64	17.72	13.4	89.2	4	3	11.2	10.56	4	20	22	31	17	29	13	287.52	19	31	20	31	25	44.2	20	19	77	8	5.5	38	20	80	23	4
chr11	128523719	128524017	0.053	4.88	8	1.48	16.32	16.92	7	2	10.72	4.88	3	12	250	14	6	17	13	43.48	5	7	10	26	35	24.9	147	9	67	9	2.8	34	21	146	20	3
chr20	10415607	10416106	0.118	4	38.84	65.84	3.12	65.6	2	6	45.48	5.36	13.12	104	92	17	54	177	26	5.76	36	45	28	31	52	26.3	17	16	24	17	3.7	82	81	49	22	1
chr18	72264542	72266097	0.267	3	33.56	88.16	6	95	4.8	3	59.8	10.28	10.92	18	22	15	20	27	9	12	26	15	29	19	24	9.7	8	15	19	12	3.7	65	88	34	16	3
chr3	49498878	49499539	0.109	3.8	54.6	14	29.8	36.72	7.2	5	26.52	2.08	4.8	14	19	18	14	72	13	31.4	20	22	25	23	21	9.7	10	13	27	20	1.8	35	44	34	16	5
chr20	61367419	61368284	0.078	8.6	5	3.8	10.48	7	8.08	4.84	9.44	5.36	6.16	11	8	4	23	13	10	9.04	6	7	8	16	7	2.8	6	9	7	12	6.5	12	7	12	11	2
chr2	85346976	85347462	0.143	6	7.36	8	19.52	27.68	8	2.48	6	9.64	4.24	21	20	24	13	29	24	24.6	12	40	24	28	31	40.1	17	20	50	13	3.7	33	33	27	34	9
chr13	113707405	113707629	0.041	3	5.12	1.68	2	3.28	1	4	2.72	10.12	3.68	6	16	2	10	3	3	6.96	3	6	7	3	5	5.5	5	4	6	6	9.2	10	6	6	8	2
chr10	114067616	114067977	0.097	2.16	7.72	2	17.8	14.96	7	4	7	4.32	3	28	14	26	14	26	15	308.48	20	19	14	46	24	11.1	14	13	377	11	1.8	26	16	79	20	5
chr1	49381921	49382187	0.056	8	11	1	9.52	7	2	1	3	3	4.48	12	9	12	9	12	8	93.68	14	14	8	15	13	6.9	17	13	92	8	1.8	12	12	41	14	1
chr12	112954114	112954439	0.053	8	4	3	4	4	1	5	3.6	4.64	4	6	8	7	8	6	10	6.28	11	3	5	8	3	3	3	7	8	5	2.1	5	6	7	5	5
chr2	229044861	229046670	0.095	9	9	29.44	13.56	109.28	75.08	2.8	16.92	11.36	3	15	18	10	15	17	11	24.84	16	16	26	15	19	31.8	11	9	74	13	8.3	25	13	23	17	3
chr15	102027327	102031609	0.503	15.48	4	13.44	16.76	63.56	50.12	5	10	7.88	6.6	13	36	14	15	10	12	18.44	10	13	32	9	11	9.7	7	10	15	7	9.2	33	13	18	13	4
chr19	5678107	5678637	0.054	2.64	6	2	4	3	1	8	8	8.44	7	6	5	4	8	6	9	2	6	3	4	7	8	1.4	5	8	4	5	4.6	6	3	6	8	2
chr14	50998473	50999972	0.245	5	40.48	68.12	21.08	131.64	3	5	98.32	6.2	38.64	18	27	18	27	32	18	193.44	31	37	22	32	42	11.1	12	18	379	12	3.7	74	54	40	21	4
chr19	42834736	42835145	0.039	7	4.36	3	8.04	4.76	6	5	5.72	10.16	13.72	8	10	5	8	8	8	5	4	2	6	5	9	4.1	4	6	3	7	2.8	9	6	6	9	1
chr13	114889799	114890371	0.059	4.08	5	4	4.48	3	1	5.96	5	8.2	20.48	6	5	4	8	5	8	3.36	8	11	9	5	12	2.8	6	12	4	6	8.3	14	8	10	9	3
chr1	204167768	204168095	0.058	4	9.8	5	9.8	4.96	1	2	4.96	7	5	12	15	11	7	13	16	28.16	15	6	8	25	26	12.4	7	7	43	8	5.5	48	8	12	10	1
chr2	231728346	231732329	0.358	7.28	41.44	48.96	33.12	112	7.96	9	68.92	13.6	80.4	16	31	25	33	30	11	31.28	18	21	27	30	18	15.2	13	14	22	18	6.4	72	37	38	24	5
chr11	128603550	128603994	0.114	4.2	23.6	8.88	19.88	49.56	4.48	3	24.08	6.76	10	14	22	28	13	36	21	4.92	29	95	22	38	59	212.8	22	12	25	13	4.6	58	50	30	38	3
chr12	132083141	132083780	0.308	2.76	6.4	4.04	6	4	6	1	3	5.76	4	5	9	4	5	10	10	7	10	8	5	10	11	2.8	6	6	11	6	3.7	7	6	20	13	3
chr13	111209990	111210454	0.044	6	9.6	6	11.88	6.08	2.12	5.24	5.84	9.44	16.8	4	5	7	4	8	5	2.12	6	7	9	8	11	4.1	5	6	8	4	3.7	6	9	9	6	1
chr15	77956129	77956600	0.046	4.4	10.8	1	23.96	8.52	5.6	3.08	4.72	5	4	6	13	9	9	11	9	7.96	7	9	5	16	12	4.1	11	6	16	7	5.5	20	12	14	12	3
chr22	50763309	50763570	0.039	4	5.6	2.8	5.8	1	9.96	3.64	6.08	2	3	6	6	8	2	5	3	4.52	5	7	6	3	8	1.4	8	8	4	3	0.9	6	6	4	12	1
chr9	71705367	71705612	0.047	7.04	26.36	27.64	8.8	89.12	1	2	14.8	3	3.84	6	14	15	12	20	9	3.36	16	17	15	17	17	6.9	6	13	20	6	1.8	28	13	36	18	3
